,国家,新增确诊,累计确诊,治愈,死亡
0,美国,24221,583220,23654,44319
1,西班牙,3045,172541,18056,67504
2,意大利,3153,159516,20465,35435
3,法国,4202,137887,14986,28011
4,德国,2518,130434,3220,68200
5,英国,4342,89569,11346,303
6,伊朗,1574,74877,4683,48129
7,土耳其,4093,61049,1296,3957
8,比利时,530,31119,4157,6868
9,荷兰,870,27580,2955,297
10,瑞士,290,25913,1162,13700
11,加拿大,1300,25680,780,7758
12,巴西,1330,23955,1361,2979
13,俄罗斯,2774,21102,170,1694
14,葡萄牙,514,17448,567,347
15,奥地利,141,14159,384,7633
16,以色列,633,11868,117,2000
17,瑞典,497,11445,1033,381
18,爱尔兰,992,10647,365,25
19,韩国,27,10564,222,7534
20,印度,1301,10541,358,1205
21,秘鲁,2265,9784,216,2642
22,日本本土,275,7645,143,799
23,厄瓜多尔,63,7529,355,597
24,智利,0,7525,82,2367
25,波兰,115,7049,251,618
26,罗马尼亚,246,6879,351,1051
27,丹麦,178,6691,299,2689
28,挪威,76,6623,139,32
29,澳大利亚,143,6494,61,2186
30,捷克,68,6059,147,527
31,巴基斯坦,344,5837,96,1378
32,沙特阿拉伯,435,5369,73,889
33,菲律宾,291,5223,335,295
34,墨西哥,353,5014,332,1964
35,马来西亚,170,4987,82,2478
36,印度尼西亚,282,4839,459,426
37,阿联酋,398,4521,25,852
38,塞尔维亚,424,4054,80,118
39,巴拿马,72,3472,94,61
40,卡塔尔,197,3428,7,373
41,乌克兰,270,3372,98,119
42,卢森堡,11,3292,69,500
43,白俄罗斯,362,3281,33,203
44,新加坡,720,3252,10,611
45,多米尼加,0,3167,177,152
46,芬兰,97,3161,64,300
47,哥伦比亚,76,2852,112,319
48,泰国,34,2613,41,1405
49,南非,242,2415,27,410
50,阿根廷,69,2277,101,559
51,埃及,125,2190,164,589
52,希腊,0,2145,99,269
53,阿尔及利亚,69,1983,313,601
54,摩尔多瓦,135,1847,36,134
55,摩洛哥,92,1838,126,210
56,冰岛,10,1711,8,933
57,克罗地亚,54,1704,31,415
58,巴林,174,1522,7,645
59,匈牙利,54,1512,122,122
60,伊拉克,0,1378,78,717
61,爱沙尼亚,41,1373,31,115
62,新西兰,17,1366,9,628
63,科威特,55,1355,3,176
64,斯洛文尼亚,8,1220,56,152
65,哈萨克斯坦,223,1202,14,203
66,阿塞拜疆,49,1197,13,351
67,乌兹别克斯坦,179,1113,4,99
68,波黑,53,1083,40,236
69,立陶宛,8,1070,24,101
70,亚美尼亚,28,1067,16,265
71,孟加拉,209,1012,46,42
72,北马其顿,54,908,44,86
73,喀麦隆,28,848,14,130
74,斯洛伐克,66,835,2,113
75,阿曼,86,813,4,130
76,古巴,0,726,21,121
77,突尼斯,19,726,34,43
78,阿富汗,49,714,23,40
79,保加利亚,28,713,35,81
80,钻石号邮轮,0,712,12,639
81,塞浦路斯,0,662,12,65
82,拉脱维亚,2,657,5,16
83,安道尔,0,646,29,128
84,黎巴嫩,9,641,21,80
85,科特迪瓦,52,626,6,89
86,哥斯达黎加,17,612,3,62
87,加纳,0,566,8,4
88,尼日尔,19,548,13,86
89,布基纳法索,18,515,27,161
90,乌拉圭,3,483,8,248
91,阿尔巴尼亚,8,475,24,248
92,吉尔吉斯斯坦,11,430,5,71
93,洪都拉斯,10,407,26,7
94,马耳他,9,393,3,44
95,约旦,2,391,7,215
96,圣马力诺,15,371,36,53
97,几内亚,113,363,0,31
98,吉布提,149,363,2,53
99,玻利维亚,24,354,28,6
100,尼日利亚,20,343,10,91
101,毛里求斯,0,324,9,42
102,波多黎各,30,316,12,0
103,塞内加尔,8,299,2,183
104,格鲁吉亚,30,296,3,68
105,黑山,5,278,4,5
106,越南,1,266,0,169
107,刚果（金）,6,241,20,20
108,斯里兰卡,2,219,7,61
109,肯尼亚,0,208,9,40
110,委内瑞拉,8,189,9,110
111,危地马拉,12,167,5,19
112,巴勒斯坦,6,161,1,18
113,巴拉圭,12,159,7,22
114,萨尔瓦多,12,149,6,25
115,文莱,0,136,1,107
116,卢旺达,1,127,0,42
117,马里,0,123,10,26
118,柬埔寨,0,122,0,91
119,特立尼达和多巴哥,0,113,8,17
120,马达加斯加,2,108,0,23
121,摩纳哥,0,93,1,6
122,埃塞俄比亚,8,82,3,14
123,列支敦士登公国,0,79,1,55
124,多哥,1,77,3,32
125,牙买加,1,73,4,19
126,巴巴多斯,1,72,4,13
127,缅甸,21,62,4,2
128,刚果（布）,0,60,5,5
129,索马里,35,60,2,2
130,利比里亚,8,59,6,4
131,加蓬,0,57,1,1
132,乌干达,0,54,0,8
133,巴哈马,2,49,8,6
134,坦桑尼亚,3,49,3,7
135,圭亚那,2,47,6,8
136,赞比亚,2,45,2,30
137,海地,7,40,3,0
138,几内亚比绍,0,38,0,0
139,马提尼克岛,0,37,1,0
140,贝宁,0,35,1,5
141,厄立特里亚,0,34,0,0
142,蒙古,13,30,0,5
143,苏丹,10,29,4,4
144,利比亚,1,26,1,9
145,叙利亚,0,25,2,5
146,安提瓜和巴布达,0,23,2,3
147,乍得,5,23,0,2
148,赤道几内亚,0,21,0,4
149,莫桑比克,0,21,0,2
150,马尔代夫,0,20,0,14
151,老挝,0,19,0,1
152,安哥拉,0,19,2,4
153,伯利兹,4,18,2,0
154,津巴布韦,3,17,3,0
155,多米尼克,0,16,0,8
156,纳米比亚,0,16,0,3
157,尼泊尔,2,16,0,1
158,马拉维,0,16,2,0
159,斐济,0,16,0,0
160,斯威士兰,1,15,0,8
161,圣卢西亚,0,15,0,4
162,格林纳达,0,14,0,0
163,博茨瓦纳,0,13,1,0
164,圣基茨和尼维斯,0,12,0,0
165,圣文森特和格林纳丁斯,0,12,0,1
166,塞拉利昂,1,11,0,0
167,中非共和国,0,11,0,4
